五矿央企开发 户型好 房子居家装修 看房方便124平3,五矿格澜郡 -暮云,3室2厅 | 123.91平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,109,"8,797元/平"
房子朝南户型，户型周正 单位房 公摊面积小,芙蓉区教师村 -德政园,3室2厅 | 88.55平米 | 南 北 | 简装 | 低楼层(共7层) | 2001年建 | 板楼,0人关注 / 1个月以前发布,71.8,"8,109元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
带大露台  精装3+1房   视野开阔 采光好  业主诚售,德庆水韵山城 -汽车南站,4室2厅 | 87.64平米 | 南 | 精装 | 低楼层(共33层) | 2011年建 | 板塔结合,3人关注 / 1个月以前发布,75,"8,558元/平"
房子朝南户型，户型周正 单位房 公摊面积小,芙蓉区教师村 -德政园,3室2厅 | 88.55平米 | 南 北 | 简装 | 低楼层(共7层) | 2001年建 | 板楼,0人关注 / 1个月以前发布,71.8,"8,109元/平"
五矿央企开发 户型好 房子居家装修 看房方便124平3,五矿格澜郡 -暮云,3室2厅 | 123.91平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,109,"8,797元/平"
店长主推 品质楼盘 一线江景 视野开阔 正地铁口,万科金域蓝湾 -晚报,3室2厅 | 90.4平米 | 南 | 精装 | 高楼层(共33层) | 2008年建 | 板塔结合,3人关注 / 2个月以前发布,105,"11,616元/平"
高铁新城万科品质刚需3房，家门口上学，拎包入住,万科魅力之城 -武广新城,3室2厅 | 99.68平米 | 东南 | 精装 | 34层 | 2015年建 | 塔楼,1人关注 / 31天以前发布,128,"12,842元/平"
正规大四房，位置好出行便利，公摊小，可以拎包入住,达美D6区 -汽车西站,4室1厅 | 118.45平米 | 南 | 精装 | 中楼层(共34层) | 2013年建 | 板塔结合,7人关注 / 2个月以前发布,162,"13,677元/平"
长房东云台，地铁口，毛坯三房，中间楼层，随时看房。,长房东云台 -汽车东站,3室2厅 | 114.27平米 | 南 | 毛坯 | 中楼层(共32层) | 2017年建 | 板楼,4人关注 / 2个月以前发布,107.6,"9,417元/平"
麓谷西地铁口 精装三房 满五唯一 位置好 楼层好,保利麓谷林语B区 -麓谷西,3室2厅 | 92.69平米 | 南 北 | 简装 | 中楼层(共11层) | 2010年建 | 板塔结合,16人关注 / 一年前发布,108,"11,652元/平"
恒大90㎡小三房，指标可以，161万诚心出售看房随时,恒大华府 -市政府,3室2厅 | 89.11平米 | 西南 | 精装 | 高楼层(共30层) | 2014年建 | 板塔结合,6人关注 / 7个月以前发布,159,"17,844元/平"
周正小两房，带小区环境，小高层，上学方便,钱隆学府 -省政府,2室1厅 | 61.42平米 | 西 | 简装 | 高楼层(共17层) | 2012年建 | 板塔结合,20人关注 / 一年前发布,46,"7,490元/平"
视野开阔，地铁口，户型周正，好房,柠檬丽都 -新开铺,3室2厅 | 115.65平米 | 南 | 精装 | 高楼层(共17层) | 2005年建 | 板楼,3人关注 / 一年前发布,106,"9,166元/平"
小户型带车位.................,时代倾城 -金星北,3室2厅 | 83.81平米 | 南 | 精装 | 中楼层(共35层) | 2015年建 | 板塔结合,15人关注 / 一年前发布,86,"10,262元/平"
急售高桥地铁口小三房，未占用，好楼层！,上河国际花园C区 -高桥,3室2厅 | 89平米 | 南 | 精装 | 高楼层(共25层) | 2007年建 | 板塔结合,4人关注 / 8个月以前发布,97.8,"10,989元/平"
满五唯一 带两卫 三房朝南 户型周正 同地下车库,五矿哈佛小镇 -暮云,3室2厅 | 90.24平米 | 南 北 | 毛坯 | 中楼层(共18层) | 2014年建 | 板塔结合,15人关注 / 3个月以前发布,70,"7,758元/平"
市府西天麓尚层毛坯大三房，南北对流，视野开阔诚心卖,天麓尚层 -雷锋大道,3室2厅 | 111.11平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,21人关注 / 8个月以前发布,106.8,"9,613元/平"
浏阳河清水毛坯四房 价格实惠 楼层好,听香水榭 -四方坪,4室2厅 | 123.45平米 | 东南 | 毛坯 | 中楼层(共31层) | 2011年建 | 板塔结合,6人关注 / 3个月以前发布,159.98,"12,960元/平"
时代倾城 3室2厅 南,时代倾城 -金星北,3室2厅 | 116.99平米 | 南 | 精装 | 中楼层(共35层) | 2015年建 | 板塔结合,8人关注 / 2个月以前发布,111.8,"9,557元/平"
雨花亭多地铁口  宜 边居家边办公的空中别墅,宏轩花苑 -雨花亭,3室2厅 | 173.08平米 | 东南 | 精装 | 高楼层(共4层) | 2001年建 | 板楼,2人关注 / 1个月以前发布,146.8,"8,482元/平"
旭辉品质 经典3房户型 不靠马路 自住满五唯一,旭辉香樟公馆 -树木岭,3室2厅 | 96.61平米 | 南 | 简装 | 中楼层(共33层) | 2016年建 | 板塔结合,27人关注 / 一年前发布,108,"11,179元/平"
业主大部分为师范老师，整体素质高,润芳园小区 -东方红,3室2厅 | 91.89平米 | 东南 | 其他 | 14层  | 板塔结合,2人关注 / 4个月以前发布,103.6,"11,275元/平"
楼层佳，视野无遮挡，可看湘江与南郊公园，精装修,湘江锦绣 -南郊公园,3室2厅 | 91.29平米 | 南 北 | 精装 | 高楼层(共28层)  | 塔楼,3人关注 / 1个月以前发布,105,"11,502元/平"
次新小区，人车分流，低总价，自住装修，随时看房,凯特梅溪紫郡 -枫林三路,3室2厅 | 85.91平米 | 东 南 | 精装 | 中楼层(共34层) | 2016年建 | 板塔结合,3人关注 / 2个月以前发布,93,"10,826元/平"
看岳麓山!览西湖！如此惬意！永祺西京！别致三居！,永祺西京 -河西步步高,3室2厅 | 99.77平米 | 南 | 精装 | 高楼层(共33层) | 2012年建 | 板塔结合,4人关注 / 2个月以前发布,167.9,"16,829元/平"
时代倾城二期 全新精空 未入住 南,时代倾城 -金星北,2室2厅 | 87.1平米 | 南 | 精装 | 低楼层(共35层)  | 板塔结合,3人关注 / 7个月以前发布,79.8,"9,162元/平"
小区位置佳，户型好，生活交通便利,华盛家园 -金盆岭,3室2厅 | 111.61平米 | 南 北 | 精装 | 中楼层(共14层) | 2002年建 | 板塔结合,1人关注 / 7天以前发布,94,"8,423元/平"
产证在手，满五唯一，长郡雨外，7号地铁，带车位,嘉华城 -汽车南站,5室2厅 | 183.85平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,3人关注 / 3个月以前发布,199,"10,825元/平"
洋湖旁低密度小区，房子在中楼层，采光视野佳,枫华府第 -含浦,3室2厅 | 89.64平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,7人关注 / 3个月以前发布,83,"9,260元/平"
正地铁口洋房小高层 花园小区 南北通透毛坯大四房,大唐印象 -省政府,4室2厅 | 148.15平米 | 南 北 | 毛坯 | 中楼层(共10层) | 2015年建 | 板楼,4人关注 / 7个月以前发布,178,"12,015元/平"
万家丽地铁口，居家好房出售，钥匙在手 随时看房,东方新城 -德政园,3室2厅 | 117.29平米 | 南 北 | 精装 | 6层 | 2001年建 | 板楼,3人关注 / 3个月以前发布,96,"8,185元/平"
万科紫台1号边户 无 敌江景视野 带地暖中 央空调,万科紫台 -新开铺,4室2厅 | 166.66平米 | 西南 | 精装 | 高楼层(共33层) | 2015年建 | 塔楼,2人关注 / 1个月以前发布,400,"24,001元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
花园式小区，户型周正，理想中的家园,通用时代国际社区 -金盆岭,2室2厅 | 75.17平米 | 南 | 精装 | 低楼层(共31层) | 2014年建 | 板塔结合,1人关注 / 3个月以前发布,98,"13,038元/平"
芙蓉广场迎宾路口双地铁口新富城满五唯一省个税,新富城 -浏城桥,3室2厅 | 121.25平米 | 南 北 | 简装 | 9层  | 板塔结合,9人关注 / 6个月以前发布,90,"7,423元/平"
小区性价 比很高的一套三房 南北通 带双阳台 周正,晟通城 -望城区,3室2厅 | 96.83平米 | 南 北 | 简装 | 高楼层(共18层) | 2014年建 | 板楼,0人关注 / 6个月以前发布,60.8,"6,280元/平"
满五唯一免个税 急售 正规2房 中间好楼层,明天一城 -泉塘,2室2厅 | 83平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,14人关注 / 8个月以前发布,48.6,"5,856元/平"
时代倾城 3室2厅 南,时代倾城 -金星北,3室2厅 | 117平米 | 南 | 精装 | 低楼层(共35层) | 2015年建 | 板塔结合,4人关注 / 3个月以前发布,112,"9,573元/平"
此房楼层好，户型周正，阳光充足，交通便利全新装修,中南汽车世界 -中南汽车世界,3室2厅 | 114.01平米 | 南 北 | 精装 | 低楼层(共6层) | 2004年建 | 板楼,3人关注 / 3个月以前发布,61.8,"5,421元/平"
此房户型周正，视野开阔，采光充足，居住环境好,红建滨水铭城 -望城区,3室2厅 | 111.67平米 | 南 | 毛坯 | 高楼层(共24层)  | 塔楼,23人关注 / 11个月以前发布,52,"4,657元/平"
雅颂居自住大三房，保养好，随时看房,湘江雅颂居 -新开铺,3室2厅 | 138.15平米 | 南 | 精装 | 22层 | 2014年建 | 板塔结合,5人关注 / 3个月以前发布,186,"13,464元/平"
万科品质精装修，直面观江，视野开阔无遮挡。,万科里金域滨江 -滨江新城,4室2厅 | 133.52平米 | 南 | 精装 | 高楼层(共34层) | 2014年建 | 塔楼,17人关注 / 4个月以前发布,328,"24,566元/平"
梅溪湖急售 清水毛坯 三室两卫 满五唯一 近医院 学 校,红星紫檀溪苑 -枫林三路,3室2厅 | 111.31平米 | 南 | 毛坯 | 高楼层(共31层) | 2013年建 | 板塔结合,71人关注 / 8个月以前发布,105,"9,434元/平"
楼层好，视野宽阔，透风好，户型周正,龙湖湘风原著B3区 -金星北,3室2厅 | 87.35平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,75,"8,587元/平"
湘银公寓 中间楼层 户型周正 房东诚心出售,湘银公寓 -雨花亭,2室2厅 | 90.9平米 | 南 | 精装 | 中楼层(共7层) | 2003年建 | 板楼,13人关注 / 一年前发布,57,"6,271元/平"
闹中取静地铁口联排中户带中阳空调壁暖精装修看房方便,长泰豪园 -湘江世纪城,5室2厅 | 243.18平米 | 南 | 精装 | 1层 | 2005年建 | 暂无数据 | 联排别墅 ,23人关注 / 4个月以前发布,303,"12,460元/平"
通用时代 业主自住装修 南北朝向 视野宽阔,通用时代国际社区 -金盆岭,3室2厅 | 108.22平米 | 南 | 精装 | 中楼层(共31层) | 2014年建 | 板塔结合,5人关注 / 5个月以前发布,153.8,"14,212元/平"
带车位出售   户型好  精装三房  地铁口4号线,都江新苑 -黄土岭,3室2厅 | 116.54平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,14人关注 / 8个月以前发布,115.8,"9,937元/平"
高铁西尖山湖畔，金地亚大四居，业主诚心出售,金地亚 -望城区,3室2厅 | 130.71平米 | 南 北 | 其他 | 中楼层(共32层) | 2013年建 | 板塔结合,8人关注 / 6个月以前发布,92,"7,039元/平"
急售~力推房源~通用时代边户~三房~简单装修~价格美丽,通用时代国际社区 -金盆岭,3室2厅 | 108.17平米 | 东南 | 简装 | 中楼层(共31层) | 2014年建 | 板塔结合,4人关注 / 2个月以前发布,149.6,"13,831元/平"
大学城湘江边 精装四房业主急售,万科金域缇香 -阳光100,4室2厅 | 140.53平米 | 南 北 | 精装 | 低楼层(共23层) | 2013年建 | 塔楼,21人关注 / 4个月以前发布,226,"16,082元/平"
湘江中路明德隔壁三房两厅精装修拎包入住,湘春路社区 -伍家岭,3室2厅 | 89.13平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 1个月以前发布,83.8,"9,402元/平"
南边通透，大三房。业主自住精装修，有北雅和清水塘,世纪城鸿江苑 -湘江世纪城,3室2厅 | 135.85平米 | 南 | 精装 | 中楼层(共33层) | 2008年建 | 塔楼,19人关注 / 6个月以前发布,164.5,"12,109元/平"
满五免个税 人车分流 精装小三房  中间楼层 随时看房,橄榄城 -泉塘,3室2厅 | 88.03平米 | 南 | 精装 | 低楼层(共33层) | 2015年建 | 板塔结合,17人关注 / 7个月以前发布,63.8,"7,248元/平"
此房满五唯一，户型周正，中高楼层，视野开阔，东边户,茂华禧都会 -武广新城,3室2厅 | 108.49平米 | 南 | 精装 | 中楼层(共11层) | 2014年建 | 板楼,1人关注 / 1个月以前发布,140,"12,905元/平"
2.3.6三地铁+客厅主卧朝南+单价低总价低,凯通国际城 -火车站,2室2厅 | 73.39平米 | 南 | 其他 | 高楼层(共32层) | 2013年建 | 板塔结合,1人关注 / 7天以前发布,69.6,"9,484元/平"
浏阳河畔，刚需小三房，纯毛坯，高楼层。,芙蓉万国城MOMA -汽车东站,3室2厅 | 87.13平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,88.8,"10,192元/平"
雨花亭2013年小区 精装三房 户型周正 公摊小 中间楼层,都市兰亭汇峰苑 -雨花亭,3室2厅 | 87.59平米 | 南 | 精装 | 中楼层(共32层) | 2013年建 | 塔楼,0人关注 / 2个月以前发布,101,"11,531元/平"
房源满五唯一 业主诚心出售 广电旁边 双地铁口电梯房,恒大雅苑 -广电,3室2厅 | 100.21平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,31人关注 / 一年前发布,105.8,"10,558元/平"
小高层    两梯三户   换房急售,高鑫麓城 -商学院,3室2厅 | 129.74平米 | 南 | 简装 | 中楼层(共18层) | 2012年建 | 板塔结合,2人关注 / 1个月以前发布,164.8,"12,703元/平"
视野宽阔，采光充足，配套成熟，户型周正配套设施齐全,世锦家和院 -开元路,4室2厅 | 136.16平米 | 南 | 毛坯 | 高楼层(共33层) | 2016年建 | 板塔结合,2人关注 / 3个月以前发布,118.8,"8,726元/平"
6号线地铁口，人人乐商圈，精装电梯大三房，拎包入住,时代天骄 -河西人人乐,3室2厅 | 131.56平米 | 南 | 精装 | 中楼层(共15层) | 2004年建 | 板塔结合,0人关注 / 2个月以前发布,103,"7,830元/平"
火车站 宇城广场 朝阳村 凯通国际 凯通朝庭 双地铁,凯通朝庭 -火车站,2室2厅 | 93.76平米 | 南 | 简装 | 中楼层(共33层) | 2014年建 | 板塔结合,7人关注 / 3个月以前发布,107.3,"11,445元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
卢浮原著装修2房看房要提前预约,卢浮原著 -暮云,2室2厅 | 73.17平米 | 南 | 其他 | 中楼层(共16层) | 2013年建 | 板塔结合,1人关注 / 1个月以前发布,58,"7,927元/平"
小高层南北向透气性好板楼结构配套齐全万科品质物业,茂华禧都会 -武广新城,3室2厅 | 106.83平米 | 南 | 精装 | 高楼层(共11层) | 2014年建 | 板楼,56人关注 / 9个月以前发布,125.8,"11,776元/平"
小高层电梯房 不临街安静不吵 成熟社区 配套丰富,今利园 -雨花亭,3室2厅 | 80.66平米 | 南 北 | 其他 | 高楼层(共11层) | 2004年建 | 板塔结合,17人关注 / 6个月以前发布,67,"8,307元/平"
(带车位)次新小区+润和精装三房+保养好+诚心出售,润和之悦 -金星北,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共32层) | 2016年建 | 板塔结合,1人关注 / 2个月以前发布,89.7,"10,194元/平"
圭塘河畔 溪悦荟 万科品质自住三房 房东诚售！,万科金域华府 -武广新城,3室2厅 | 91.88平米 | 西南 | 精装 | 中楼层(共34层) | 2013年建 | 板塔结合,54人关注 / 4个月以前发布,127,"13,823元/平"
不靠马路小区中间位置视野好安静,丰升德润 -喜盈门,3室2厅 | 123.33平米 | 南 | 简装 | 低楼层(共29层) | 2013年建 | 板塔结合,0人关注 / 1个月以前发布,134.5,"10,906元/平"
高桥商圈三地铁口省个税的精装小三房南北对流诚心出售,鸿基橄榄君庭 -尚东,3室2厅 | 90.36平米 | 南 | 精装 | 低楼层(共33层) | 2011年建 | 板塔结合,7人关注 / 3个月以前发布,95.8,"10,603元/平"
可正常交易，清水毛坯房三房，难得出来的户型,湘熙水郡 -洋湖垸,3室2厅 | 110.82平米 | 东南 | 毛坯 | 高楼层(共34层) | 2014年建 | 板塔结合,2人关注 / 1个月以前发布,180,"16,243元/平"
户型周正，通透户型，两梯两户.满意唯一,西子花苑 -高桥,3室2厅 | 137.14平米 | 南 北 | 精装 | 高楼层(共18层) | 2007年建 | 板楼,0人关注 / 1个月以前发布,135,"9,844元/平"
毛坯大三房 户型正 采光好  高绿化,珠江东方明珠 -金星北,3室2厅 | 135.99平米 | 南 北 | 简装 | 中楼层(共28层)  | 板塔结合,4人关注 / 6个月以前发布,94,"6,913元/平"
金星北 地铁口 月亮岛旁 勤诚达新界 精装修 拎包入住,勤诚达新界 -金星北,4室2厅 | 138.63平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,40人关注 / 一年前发布,147.3,"10,626元/平"
动静分离，客厅带阳台 大三房，双地铁口,菁华源 -赤岗冲,3室1厅 | 115.84平米 | 南 北 | 精装 | 中楼层(共28层)  | 板塔结合,0人关注 / 1个月以前发布,105,"9,065元/平"
黄土岭地铁口 荣悦台 精装三居室 次新楼盘 环境好,荣悦台 -黄土岭,3室2厅 | 129.88平米 | 南 | 精装 | 高楼层(共33层) | 2016年建 | 板塔结合,2人关注 / 7个月以前发布,215,"16,554元/平"
户型周正 位置好不靠高速 诚心出售,嘉宇中央 -武广新城,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共28层) | 2013年建 | 塔楼,20人关注 / 5个月以前发布,110,"12,223元/平"
指标2023年可用，满五唯一，精装修中上楼层，周正三房,钰龙天下二期 -观沙岭,3室1厅 | 104.35平米 | 南 | 精装 | 高楼层(共34层) | 2014年建 | 板楼,11人关注 / 一年前发布,246.8,"23,652元/平"
此房格局好，南北双阳台，楼层好,融科紫檀 -武广新城,4室2厅 | 142.01平米 | 南 北 | 毛坯 | 33层  | 板塔结合,27人关注 / 一年前发布,199,"14,014元/平"
第六都 近地铁 4+1户型 高楼层 南北通透 品质小区,第六都 -雨花亭,4室2厅 | 161.72平米 | 南 北 | 精装 | 高楼层(共32层) | 2014年建 | 塔楼,0人关注 / 2个月以前发布,318,"19,664元/平"
户型通透，中间楼层，位置安静，精装拎包入住。,荣盛花语馨苑 -麓谷西,3室1厅 | 89.34平米 | 南 北 | 精装 | 低楼层(共33层) | 2014年建 | 塔楼,7人关注 / 5个月以前发布,92,"10,298元/平"
中间楼层 ，采光好，户型周正，小高层，配套齐全,中国铁建国际城 -泉塘,3室2厅 | 98.77平米 | 南 | 精装 | 低楼层(共34层) | 2014年建 | 板塔结合,4人关注 / 7个月以前发布,76.5,"7,746元/平"
铁道学院，七号线在建地铁口，业主诚售,金凤滩家园 -韶山南路,3室2厅 | 127.02平米 | 东 西 | 精装 | 高楼层(共18层) | 2007年建 | 塔楼,2人关注 / 1个月以前发布,113,"8,897元/平"
沃尔玛旁 电梯装修三房 中间层 位置安静 阳光足,枫华府第 -含浦,3室2厅 | 106.79平米 | 南 | 精装 | 高楼层(共15层)  | 塔楼,2人关注 / 1个月以前发布,89,"8,335元/平"
居家装修小三房 南北通透 满五唯一,五矿紫湖香醍 -暮云,3室2厅 | 92.7平米 | 南 北 | 精装 | 高楼层(共18层) | 2012年建 | 板塔结合,1人关注 / 1个月以前发布,85,"9,170元/平"
雨花亭2013年小区 精装三房 户型周正 公摊小 中间楼层,都市兰亭汇峰苑 -雨花亭,3室2厅 | 87.59平米 | 南 | 精装 | 中楼层(共32层) | 2013年建 | 塔楼,0人关注 / 2个月以前发布,101,"11,531元/平"
满五唯一 2017年次新房 双地铁口 全新毛坯三房！,建发中央公园 -雨花亭,3室2厅 | 99.97平米 | 南 北 | 毛坯 | 高楼层(共33层) | 2016年建 | 板塔结合,7人关注 / 5个月以前发布,162.8,"16,285元/平"
免个税 诚心出售 中间楼层 拎包入住,茂华禧都会 -武广新城,3室2厅 | 138.45平米 | 南 | 精装 | 中楼层(共18层) | 2014年建 | 板塔结合,31人关注 / 6个月以前发布,175,"12,640元/平"
满五唯一，12000多单价，有钥匙，方便看房,绿地中央广场 -观沙岭,3室1厅 | 99.04平米 | 南 北 | 精装 | 高楼层(共31层)  | 板塔结合,28人关注 / 一年前发布,118,"11,915元/平"
二环内 陆都国际 九成新精装 满五唯一 带车位,第六都 -雨花亭,4室2厅 | 160.53平米 | 南 | 精装 | 高楼层(共33层) | 2014年建 | 塔楼,9人关注 / 4个月以前发布,345,"21,492元/平"
此房满五唯一，中间楼层，采光视野没有遮挡，拎包入住,万科白鹭郡 -洋湖垸,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共34层) | 2013年建 | 板塔结合,0人关注 / 31天以前发布,142.8,"15,693元/平"
花园式小区，户型周正，理想中的家园,通用时代国际社区 -金盆岭,2室2厅 | 75.17平米 | 南 | 精装 | 低楼层(共31层) | 2014年建 | 板塔结合,1人关注 / 3个月以前发布,98,"13,038元/平"
省直公务员小区 公园是小区 满五唯一 拎包入住,华盛世纪新城 -喜盈门,3室2厅 | 138.26平米 | 南 北 | 精装 | 低楼层(共18层) | 2009年建 | 塔楼,10人关注 / 3个月以前发布,135,"9,765元/平"
标题,开发商,房子信息,发布周期,售价/万,单价
雨花亭 砂子塘 阳光锦城  精装自住 三房 诚心出售,阳光锦城 -雨花亭,3室2厅 | 91.12平米 | 南 | 精装 | 低楼层(共31层) | 2013年建 | 板楼,1人关注 / 1个月以前发布,152,"16,682元/平"
房型周正 精装修 保养很好 带家私家电,方略潇邦 -泉塘,3室2厅 | 125.74平米 | 南 北 | 精装 | 低楼层(共18层) | 2010年建 | 板塔结合,0人关注 / 2个月以前发布,92,"7,317元/平"
地铁口 月亮岛 采光好，视野佳,勤诚达新界 -金星北,4室2厅 | 93平米 | 南 | 精装 | 低楼层(共27层) | 2014年建 | 板楼,79人关注 / 一年前发布,72.5,"7,796元/平"
吾悦广场 户型周正 视野开阔 采光通风好 业主诚心出售,中粮自然天城 -望城区,4室2厅 | 140.57平米 | 南 北 | 毛坯 | 低楼层(共33层) | 2014年建 | 板塔结合,1人关注 / 1个月以前发布,106,"7,541元/平"
宏聚地中海 2室1厅 南,宏聚地中海 -万家丽南路,2室1厅 | 64.78平米 | 南 | 简装 | 高楼层(共24层) | 2014年建 | 板塔结合,21人关注 / 4个月以前发布,51,"7,873元/平"
楼层好，采光充足，户型周正，地铁1号线3号口,君悦香邸 -北辰三角洲,2室2厅 | 73.31平米 | 东南 东北 | 精装 | 高楼层(共32层) | 2007年建 | 板塔结合,0人关注 / 2个月以前发布,82,"11,186元/平"
纯板低密小区 9字头！九成新装修 拎包入住 随时看房！,茂华国际湘 -武广新城,3室1厅 | 132.57平米 | 南 北 | 精装 | 低楼层(共11层) | 2013年建 | 板楼,102人关注 / 7个月以前发布,112,"8,449元/平"
中海国际三期 刚需精典三房两卫  得房率高 拎包入住,中海国际社区三期 -含浦,3室2厅 | 105.54平米 | 东南 | 精装 | 高楼层(共33层) | 2013年建 | 板塔结合,9人关注 / 8个月以前发布,110,"10,423元/平"
长沙红星德思勤喜盈门商圈华悦城七楼三室二厅精装靓房,华悦城 -喜盈门,3室2厅 | 100.16平米 | 南 | 简装 | 低楼层(共26层) | 2013年建 | 塔楼,8人关注 / 9个月以前发布,98,"9,785元/平"
两梯两户电梯小高层 南北对流双阳台 有钥匙可随时看房,玫瑰园 -金星北,3室2厅 | 137.76平米 | 南 北 | 精装 | 低楼层(共15层) | 2007年建 | 板楼,16人关注 / 5个月以前发布,100,"7,260元/平"
"急卖，湖景房，地铁口，满五唯—,品牌装修9成新",和泓梅溪四季 -梅溪湖北岸,5室2厅 | 128.58平米 | 南 北 | 精装 | 低楼层(共34层) | 2013年建 | 板塔结合,12人关注 / 3个月以前发布,275,"21,388元/平"
金茂府 3室2厅 南,金茂府 -梅溪湖北岸,3室2厅 | 142.33平米 | 南 | 精装 | 高楼层(共45层) | 2014年建 | 板塔结合,16人关注 / 3个月以前发布,298,"20,938元/平"
万家丽东玺门大三房，采光好，房东诚心急售，有钥匙,东玺门 -马王堆,3室2厅 | 128.61平米 | 东北 | 简装 | 31层 | 2009年建 | 板塔结合,1人关注 / 3个月以前发布,125,"9,720元/平"
中海梅溪湖壹号小三房通风采光好,中海梅溪湖壹号二期 -梅溪湖南岸,3室2厅 | 81.22平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 2个月以前发布,168,"20,685元/平"
润和之悦精装三房，视野无遮挡，地铁口中间楼层,润和之悦 -金星北,3室2厅 | 88.47平米 | 南 北 | 精装 | 高楼层(共32层) | 2016年建 | 板塔结合,2人关注 / 7个月以前发布,81.8,"9,247元/平"
房子诚心出售，前无遮挡，视野好。,芙蓉万国城MOMA -汽车东站,3室2厅 | 86.96平米 | 南 | 简装 | 低楼层(共33层) | 2015年建 | 板塔结合,0人关注 / 2个月以前发布,86,"9,890元/平"
市府板块，次新小区，满五唯一，视野开阔,奥克斯缔壹城 -雷锋大道,3室2厅 | 116.85平米 | 南 北 | 简装 | 高楼层(共33层) | 2016年建 | 暂无数据,0人关注 / 1个月以前发布,126.8,"10,852元/平"
省府地段 精装周正三房 近地铁 青园梓枫中雅培粹,天城泰祥苑 -湘府路,3室2厅 | 128.2平米 | 南 | 精装 | 高楼层(共16层) | 2006年建 | 板楼,7人关注 / 4个月以前发布,119.8,"9,345元/平"
正地铁口 四方小区精装三房 满五唯一 拎包入住,四方小区 -四方坪,3室2厅 | 91.21平米 | 南 北 | 精装 | 低楼层(共6层) | 2003年建 | 板楼,2人关注 / 2个月以前发布,78,"8,552元/平"
地铁口 月亮岛 满五唯一毛坯三房,勤诚达新界 -金星北,3室2厅 | 93.59平米 | 北 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,4人关注 / 5个月以前发布,83.5,"8,922元/平"
满五唯一   楼栋位置安静 带入户花园,中建芙蓉嘉苑 -省政府,3室2厅 | 119.54平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板塔结合,2人关注 / 2个月以前发布,146,"12,214元/平"
高铁南板块 阳光城 南北通透 清水毛坯 大三房,阳光城尚东湾（学园区） -武广新城,3室2厅 | 121.18平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板塔结合,3人关注 / 3个月以前发布,129.8,"10,712元/平"
圭塘河畔 沙湾公园 品质香山！！！,中城丽景香山 -武广新城,3室2厅 | 161.12平米 | 北 南 | 毛坯 | 低楼层(共18层) | 2012年建 | 板楼,6人关注 / 3个月以前发布,223,"13,841元/平"
满五唯一 主推房源 随时看房 二线江景,湘江豪庭 -开福区政府,4室2厅 | 198.2平米 | 南 | 精装 | 中楼层(共43层) | 2011年建 | 板楼,15人关注 / 7个月以前发布,305,"15,389元/平"
38万   首付11万  月供1300  电梯中间楼层,南郡雅园 -暮云,2室2厅 | 78.08平米 | 南 | 毛坯 | 中楼层(共15层)  | 暂无数据,22人关注 / 10个月以前发布,38,"4,867元/平"
江山帝景 电梯洋房 一梯二户 精装自住 想用的可用,江山帝景雅典 -含浦,3室2厅 | 140.11平米 | 南 北 | 精装 | 低楼层(共6层) | 2016年建 | 板塔结合,21人关注 / 8个月以前发布,144.8,"10,335元/平"
云栖谷 精装纯板楼大三房 小区中芯 人车分流 诚心卖,云栖谷 -含浦,3室2厅 | 123.62平米 | 南 北 | 精装 | 低楼层(共18层) | 2014年建 | 板楼,4人关注 / 7个月以前发布,95.6,"7,734元/平"
省个税 6号4号线地铁口 电梯小高层  板楼  采光好,金色山庄 -桐梓坡,3室2厅 | 121.66平米 | 南 | 精装 | 高楼层(共12层) | 2006年建 | 板塔结合,3人关注 / 1个月以前发布,109.8,"9,026元/平"
满五唯一，居家装修，房东诚心售房，拎包入住,君悦香邸 -北辰三角洲,3室2厅 | 134.08平米 | 南 | 精装 | 高楼层(共23层) | 2007年建 | 板塔结合,30人关注 / 一年前发布,168.8,"12,590元/平"
